2451653|7022|1750|2224|1011635|3446|1057|2224|1011635|3446|1057|1|1|1|10|698.20|13.96|712.16|18.63|820.30|300.22|382.06|15.92|852.89|
2451627|64915|925|1811|18405|199|1793|1811|18405|199|1793|1|2|1|47|1248.79|49.95|1298.74|61.81|709.23|262.24|128.25|858.30|820.99|
2452798|\N|1455|\N|31639|\N|2790|\N|31639|2038|2790|\N|2|2|11|\N|25.52|\N|\N|16.72|\N|16.36|165.47|\N|
2452243|23325|735|3687|663037|1234|1984|3687|663037|1234|1984|1|1|5|33|1820.94|54.62|1875.56|70.16|1000.23|1802.73|14.56|3.65|1125.01|
2452305|73981|1909|2552|1104998|2244|2090|2552|1104998|2244|2090|1|2|5|18|82.08|7.38|89.46|35.63|1342.26|38.57|19.14|24.37|1385.27|
2451288|74891|1897|2650|1309189|128|420|2650|1309189|128|420|1|1|7|16|1956.00|156.48|2112.48|22.56|221.76|215.16|504.84|1236.00|400.80|
2451337|44242|469|5377|1291615|653|1891|5377|1291615|653|1891|1|1|7|3|134.40|0.00|134.40|78.06|108.78|108.86|15.06|10.48|186.84|
2451278|48347|542|2887|1781163|3486|2762|2887|1781163|3486|2762|2|1|7|43|520.30|20.81|541.11|54.02|3468.38|504.69|14.36|1.25|3543.21|
2452098|72741|109|5559|1010209|2812|415|5559|1010209|2812|415|1|2|10|4|79.68|2.39|82.07|11.40|54.52|58.16|1.50|20.02|68.31|
2452065|46137|629|4204|217410|1416|1222|4204|217410|1416|1222|1|2|11|28|707.00|28.28|735.28|16.84|382.20|424.20|248.86|33.94|427.32|
2451936|25850|1364|5623|1546796|816|389|5623|1546796|816|389|1|1|11|6|708.66|21.25|729.91|25.19|146.10|474.80|144.99|88.87|192.54|
2452508|71077|925|4010|1589848|6933|1371|4010|1589848|6933|1371|1|2|12|26|528.84|37.01|565.85|90.97|237.12|449.51|23.00|56.33|365.10|
2451590|30553|1928|4036|1376937|2285|1586|4036|1376937|2285|1586|1|2|13|16|417.60|25.05|442.65|22.13|539.36|50.11|128.62|238.87|586.54|
2452495|\N|907|3758|\N|2243|\N|3758|1696824|\N|\N|1|\N|14|4|\N|\N|\N|11.84|\N|9.39|\N|\N|\N|
2452566|67292|1583|337|970065|593|1321|337|970065|593|1321|1|2|14|5|219.85|15.38|235.23|28.94|233.90|147.29|42.81|29.75|278.22|
\N|\N|926|\N|\N|2358|\N|932|418645|\N|\N|\N|\N|15|24|\N|\N|\N|54.71|62.40|\N|129.49|60.94|143.37|
2452567|26030|1675|2543|1118206|6669|2732|2543|1118206|6669|2732|1|2|16|40|1479.60|103.57|1583.17|4.99|856.80|665.82|219.72|594.06|965.36|
2452569|29129|1879|2888|217580|5919|658|2888|217580|5919|658|1|2|17|10|69.00|6.21|75.21|60.35|19.70|31.05|11.38|26.57|86.26|
2451692|37442|200|2623|1176118|1613|1108|2623|1176118|1613|1108|1|1|18|11|1628.66|32.57|1661.23|13.11|506.22|1237.78|355.70|35.18|551.90|
2451495|70505|793|3084|1360384|4437|2537|3084|1360384|4437|2537|1|2|18|23|447.58|17.90|465.48|30.56|302.22|331.20|51.20|65.18|350.68|
2451396|74839|364|\N|\N|\N|\N|4767|\N|3439|2775|\N|2|22|\N|\N|0.00|\N|\N|75.90|485.00|\N|\N|\N|
2451271|72837|188|5141|718131|2368|1405|5141|718131|2368|1405|2|1|22|30|247.20|9.88|257.08|23.57|717.30|229.89|15.05|2.26|750.75|
2451430|\N|313|4764|\N|\N|\N|4764|1060754|5497|\N|\N|2|22|79|\N|0.00|0.00|92.68|\N|\N|0.00|0.00|\N|
2452236|23926|997|4618|8492|4766|2440|4618|8492|4766|2440|1|1|24|9|107.46|3.22|110.68|54.67|33.03|33.31|68.21|5.94|90.92|
2452273|38436|1815|5071|1421648|5454|2396|5071|1421648|5454|2396|1|1|24|8|252.08|15.12|267.20|62.43|12.72|133.60|29.62|88.86|90.27|
2451372|50248|724|4691|813091|5891|1091|4691|813091|5891|1091|1|1|26|77|1088.78|43.55|1132.33|1.05|3811.50|163.31|397.95|527.52|3856.10|
2451514|46416|1688|970|854030|2690|550|970|854030|2690|550|1|1|26|10|362.50|3.62|366.12|68.99|164.80|290.00|60.17|12.33|237.41|
2451529|45968|500|2943|58420|2297|421|2943|58420|2297|421|1|1|26|35|340.20|13.60|353.80|50.62|453.60|336.79|2.25|1.16|517.82|
2450982|37442|367|2331|1565742|5600|2258|2331|1565742|5600|2258|1|2|27|4|19.20|1.72|20.92|63.20|41.36|4.60|10.22|4.38|106.28|
2450976|42382|274|3968|169725|1529|2286|3968|169725|1529|2286|1|2|27|11|380.49|15.21|395.70|76.70|77.66|144.58|11.79|224.12|169.57|
2452492|36787|875|4839|1060269|5299|1082|4839|1060269|5299|1082|1|1|29|11|400.84|20.04|420.88|16.27|99.11|308.64|18.44|73.76|135.42|
2451423|75368|1612|553|1687614|2228|2289|553|1687614|2228|2289|1|1|30|19|168.15|3.36|171.51|94.69|107.54|117.70|42.88|7.57|205.59|
2451476|48229|80|1962|12631|2900|369|1962|12631|2900|369|1|2|30|5|18.20|0.54|18.74|11.66|8.25|2.54|5.79|9.87|20.45|
\N|43497|422|\N|1006429|3340|1251|318|1006429|3340|\N|\N|\N|32|7|470.26|\N|484.36|99.14|\N|470.26|0.00|\N|\N|
2451486|253|1078|3754|998787|3867|1347|3754|998787|3867|1347|1|1|32|2|98.40|8.85|107.25|16.33|131.22|51.16|27.87|19.37|156.40|
2451420|61938|1816|5841|1808855|5916|1330|5841|1808855|5916|1330|1|2|32|44|4496.36|314.74|4811.10|5.38|1570.80|4316.50|151.08|28.78|1890.92|
2451622|68694|1327|758|1477303|5095|1440|758|1477303|5095|1440|1|2|33|5|1231.20|24.62|1255.82|13.24|580.20|295.48|823.43|112.29|618.06|
2451734|55182|346|341|914970|5999|428|341|914970|5999|428|1|2|33|7|88.34|5.30|93.64|24.45|109.27|6.18|6.57|75.59|139.02|
2451697|47575|1963|4237|1089705|4773|841|4237|1089705|4773|841|1|1|33|3|164.85|1.64|166.49|3.49|57.06|6.59|137.68|20.58|62.19|
2451615|73881|1663|5870|705124|5978|32|5870|705124|5978|32|2|2|34|32|4588.16|183.52|4771.68|51.92|2136.96|917.63|3523.70|146.83|2372.40|
