2450926|45816|952|601|797995|6189|583|601|797995|4703|583|2|106|2|1|1|2|47|3888.31|233.29|4121.60|91.23|1348.90|3577.24|186.64|124.43|1673.42|
2450946|74710|404|601|797995|6189|583|4809|665550|991|1832|2|17|2|1|1|2|49|2490.18|99.60|2589.78|52.54|1867.39|323.72|931.57|1234.89|2019.53|
2451065|71104|1820|3383|3755|2480|652|4311|700704|5571|1485|2|7|13|1|1|4|12|64.32|4.50|68.82|22.97|78.60|1.28|55.47|7.57|106.07|
2450955|28638|988|2801|90299|3797|2495|3681|1168758|7154|197|1|9|12|1|1|5|20|829.40|49.76|879.16|60.00|308.00|622.05|176.24|31.11|417.76|
2451024|44538|1783|1351|528859|5567|122|1027|737861|54|1647|1|78|12|1|1|6|6|403.08|36.27|439.35|4.58|199.44|354.71|27.57|20.80|240.29|
2450993|10904|374|1351|528859|5567|122|2008|1289384|1410|2436|1|54|7|1|1|6|7|23.17|1.85|25.02|19.85|7.07|6.25|9.64|7.28|28.77|
2451018|60162|1844|1674|\N|\N|\N|994|\N|\N|2335|\N|2|\N|\N|\N|9|3|413.94|0.00|\N|\N|\N|318.73|35.22|59.99|185.36|
2450929|30343|721|3731|1046123|5715|107|4927|865466|4658|2697|2|65|14|1|1|11|17|1283.67|51.34|1335.01|71.97|58.31|449.28|183.56|650.83|181.62|
2451061|53881|1094|3731|1046123|5715|107|2053|1827904|2936|2968|2|42|11|1|2|11|9|29.79|1.19|30.98|91.16|59.67|0.00|20.85|8.94|152.02|
2451042|11891|835|4748|83584|2773|1362|3188|1816862|2974|2286|1|11|2|1|1|12|61|2119.75|84.79|2204.54|30.32|271.45|1441.43|529.08|149.24|386.56|
2451038|37877|1760|22|1502404|6833|1662|2294|1764552|4145|2491|2|18|3|1|2|13|27|54.81|0.00|54.81|7.04|146.07|12.05|40.19|2.57|153.11|
2450870|64669|370|22|1502404|6833|1662|2573|1482438|6726|2614|2|43|18|1|2|13|18|100.44|5.02|105.46|70.47|196.92|9.03|82.26|9.15|272.41|
