2451984|46418|404|1006|793022|4033|1397|2|1|1|51|37.23|3.35|40.58|55.28|714.00|0.74|17.51|18.98|772.63|
2451822|47480|1813|1006|1082163|7157|2751|1|1|1|43|4009.32|120.27|4129.59|28.23|0.00|3448.01|5.61|555.70|148.50|
2451653|37700|1030|284|289468|3067|819|2|2|2|7|249.48|2.49|251.97|11.50|6.23|234.51|8.83|6.14|20.22|
2452682|38957|1719|2047|793786|6401|1663|2|2|3|3|227.37|6.82|234.19|9.23|33.42|125.05|51.16|51.16|49.47|
2452682|41617|1063|2047|193750|2351|152|1|2|3|23|1273.05|25.46|1298.51|46.15|406.18|954.78|57.28|260.99|477.79|
2452688|60645|1545|2047|1047081|2455|1076|2|1|3|1|35.14|2.45|37.59|79.00|0.00|9.13|5.20|20.81|81.45|
2451598|40772|397|4814|722383|1497|164|2|1|4|18|63.54|1.27|64.81|1.26|10.80|33.67|2.68|27.19|13.33|
2451521|33881|908|4814|925501|3196|1491|2|1|4|12|18.60|1.48|20.08|46.48|270.60|10.04|8.04|0.52|318.56|
2451628|34073|1790|5246|1150235|3185|935|1|2|5|58|347.42|6.94|354.36|97.98|331.18|107.70|14.38|225.34|436.10|
2452165|54713|151|3029|492488|6806|724|2|1|6|1|61.81|3.70|65.51|68.44|44.79|54.39|0.14|7.28|116.93|
2452319|50204|543|5954|1182421|560|2299|1|2|7|72|809.28|24.27|833.55|88.17|51.12|194.22|442.84|172.22|163.56|
2452065|40372|163|451|178772|175|1625|2|1|10|48|3960.48|0.00|3960.48|39.22|65.76|1980.24|1960.43|19.81|104.98|
2452575|42311|1639|2900|727030|4636|1089|1|1|11|36|1639.44|81.97|1721.41|96.21|712.80|147.54|1163.68|328.22|890.98|
2451378|48500|1196|4820|201438|6076|1714|2|1|12|27|417.42|4.17|421.59|62.17|2400.30|375.67|37.57|4.18|2466.64|
2451329|44694|1495|4820|1351118|2652|633|2|2|12|46|1208.42|48.33|1256.75|69.04|887.80|96.67|355.76|755.99|1005.17|
2451014|29493|130|588|130689|2790|1138|1|2|13|58|40.60|3.24|43.84|1.13|312.62|27.20|0.26|13.14|316.99|
2450926|48082|1591|1144|541501|527|1400|1|1|13|1|83.51|7.51|91.02|81.26|20.31|73.48|8.42|1.61|109.08|
2450924|48257|2000|1144|277151|1877|1050|1|2|13|6|350.40|14.01|364.41|20.61|247.98|255.79|62.44|32.17|282.60|
\N|\N|935|5409|829696|\N|\N|\N|1|14|\N|708.18|49.57|757.75|\N|\N|559.46|\N|\N|\N|
2451933|41472|1100|2835|747820|2733|446|1|2|15|1|9.43|0.75|10.18|35.62|48.33|8.48|0.61|0.34|84.70|
2450914|51589|1903|2222|1815885|5148|2411|2|1|16|24|2406.00|72.18|2478.18|19.02|349.20|505.26|722.28|1178.46|440.40|
2450924|34013|1750|3139|524921|3159|2950|2|1|16|15|181.65|10.89|192.54|98.09|60.45|74.47|8.57|98.61|169.43|
2451547|44125|1285|1292|1532238|2533|828|1|2|18|56|199.36|9.96|209.32|57.84|89.04|95.69|14.51|89.16|156.84|
2451491|44663|1100|1292|187471|1924|2424|2|2|18|13|419.25|12.57|431.82|58.46|226.72|37.73|343.36|38.16|297.75|
2451376|56165|1294|1104|1392417|1141|312|1|1|19|14|359.24|32.33|391.57|13.77|517.30|283.79|45.27|30.18|563.40|
2451493|50425|1304|3762|1325860|758|2856|1|1|19|78|2391.48|47.82|2439.30|78.85|2602.86|2032.75|243.93|114.80|2729.53|
2451280|33889|190|626|854970|2561|1305|1|2|21|27|1778.76|53.36|1832.12|73.43|495.72|160.08|1068.32|550.36|622.51|
2451277|40485|1051|4935|1685822|6158|2494|2|1|22|17|35.02|0.00|35.02|22.87|195.16|14.35|2.68|17.99|218.03|
2451231|29254|475|4935|1247881|5718|555|2|1|22|6|113.94|9.11|123.05|66.52|53.40|37.60|57.25|19.09|129.03|
2452771|51900|1953|5669|1890707|5392|2030|2|2|23|80|5883.20|294.16|6177.36|52.40|2848.80|4824.22|328.28|730.70|3195.36|
2452213|40442|1665|1069|1359322|2796|2270|1|1|24|11|28.49|0.00|28.49|69.29|29.81|6.26|1.33|20.90|99.10|
2452305|60624|1483|1069|1553144|6578|765|1|2|24|78|1099.02|54.95|1153.97|27.69|328.38|1033.07|58.03|7.92|411.02|
2451053|35984|373|4838|1564003|1743|2883|1|1|25|18|42.12|2.52|44.64|57.38|6.12|37.48|2.04|2.60|66.02|
2451079|50088|1304|4838|77813|3196|1932|1|2|25|39|772.59|46.35|818.94|28.93|178.23|347.66|50.99|373.94|253.51|
2451966|49139|1085|4780|637321|1532|590|2|1|27|84|382.20|0.00|382.20|97.85|154.56|259.89|13.45|108.86|252.41|
2451964|49463|1935|4780|178335|4892|2896|1|1|27|22|59.84|1.79|61.63|38.22|137.72|43.68|6.62|9.54|177.73|
2451259|35185|1334|2631|1723855|885|868|2|2|29|6|5.04|0.45|5.49|85.50|15.96|3.83|0.03|1.18|101.91|
2451174|32214|1234|2631|135738|5274|1010|2|1|29|22|41.80|3.76|45.56|18.82|985.16|17.13|24.17|0.50|1007.74|
2451983|33769|205|2120|222350|2461|125|2|1|32|41|2092.23|167.37|2259.60|14.26|987.28|941.50|149.59|1001.14|1168.91|
2451392|48895|205|3971|934775|429|2883|1|1|34|13|208.78|16.70|225.48|77.95|223.73|198.34|3.65|6.79|318.38|
2452196|33535|1537|3958|539558|6809|107|2|2|35|60|144.00|0.00|144.00|36.15|2167.20|87.84|39.87|16.29|2203.35|
2452306|40321|1117|4008|1243218|3988|1711|1|2|36|45|999.45|79.95|1079.40|29.51|35.10|499.72|439.76|59.97|144.56|
2452317|53999|1705|4008|882385|\N|\N|2|1|36|\N|\N|3.49|\N|\N|\N|7.49|13.58|\N|\N|
2452279|41984|631|1722|465142|3315|2735|1|1|36|7|541.31|43.30|584.61|71.10|241.36|519.65|10.18|11.48|355.76|
2452128|30131|415|2252|491912|5028|1144|2|2|37|85|8562.90|513.77|9076.67|8.17|366.35|4195.82|3493.66|873.42|888.29|
2451271|44173|1670|3890|1681246|5780|1714|1|1|41|17|1327.36|79.64|1407.00|49.73|558.79|66.36|731.38|529.62|688.16|
2451092|43741|130|1423|1577815|3651|2487|1|1|42|13|422.24|8.44|430.68|48.27|551.20|329.34|15.79|77.11|607.91|
2451033|54994|1219|229|1611739|3649|912|2|2|42|43|1240.55|0.00|1240.55|86.84|68.80|719.51|359.51|161.53|155.64|
2451073|52318|1820|152|134560|4215|2223|1|2|42|13|475.54|9.51|485.05|73.37|317.07|128.39|197.87|149.28|399.95|
2452295|39258|597|606|1581204|3389|2621|2|1|45|39|2703.87|243.34|2947.21|59.97|386.10|1487.12|790.88|425.87|689.41|
2451354|60360|992|4598|194443|4161|2832|2|1|46|47|3742.14|149.68|3891.82|24.47|379.29|3442.76|59.87|239.51|553.44|
\N|59918|398|\N|\N|3068|\N|1|\N|46|38|\N|\N|453.29|51.61|207.48|104.60|86.12|\N|276.52|
2451177|58870|368|5903|1256944|382|2373|1|2|47|1|8.12|0.73|8.85|19.08|7.43|3.81|0.77|3.54|27.24|
2452738|29363|199|4843|1862359|2275|391|2|2|48|5|199.35|17.94|217.29|11.83|112.95|191.37|0.71|7.27|142.72|
2452745|44637|1215|5202|1047097|5374|2251|2|2|48|10|392.20|27.45|419.65|10.16|116.00|152.95|224.89|14.36|153.61|
2451892|35637|1592|3590|103157|6724|1091|2|1|49|21|496.23|29.77|526.00|48.23|31.92|282.85|142.96|70.42|109.92|
