"correct_backPropagation","correct_emf1st","correct_emf2nd","correct_java1st","correct_java2nd","correct_referenceMapper","factor","iteration","memory_backPropagation","memory_emf1st","memory_emf2nd","memory_fetching","memory_java1st","memory_java2nd","memory_referenceMapper","memory_sqlQuery","memory_syncer","memory_update","memory_update2","query","size_backPropagation","size_mapper","size_model","size_syncer","syncer_type","time_backPropagation","time_emf1st","time_emf2nd","time_fetching","time_java1st","time_java2nd","time_referenceMapper","time_sqlQuery","time_syncer","time_update","time_update2"
"false","false","false","false","false","false","","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0","0","1392397","0.0","LAZY","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"false","false","false","false","false","true","","0","0.0","0.0","0.0","4444.237754821777","0.0","0.0","-2397.132064819336","18.07709503173828","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","66214.683704","0.0","0.0","5994.725197","17081.09669","0.0","0.0","0.0"
"false","false","false","false","false","true","","1","0.0","0.0","0.0","26.818649291992188","0.0","0.0","822.9128189086914","9.824005126953125","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","52015.04678","0.0","0.0","2818.045748","17902.345614","0.0","0.0","0.0"
"false","false","false","false","false","true","","2","0.0","0.0","0.0","-610.9278106689453","0.0","0.0","759.4696578979492","9.715179443359375","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","40400.735355","0.0","0.0","2298.043379","17409.242323","0.0","0.0","0.0"
"false","false","false","false","false","true","","3","0.0","0.0","0.0","-197.23389434814453","0.0","0.0","-951.5412673950195","9.654403686523438","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","40561.217318","0.0","0.0","2828.581962","17480.018874","0.0","0.0","0.0"
"false","false","false","false","false","true","","4","0.0","0.0","0.0","590.4346008300781","0.0","0.0","-1408.4514465332031","9.573905944824219","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","43974.671678","0.0","0.0","5347.543529","17802.001503","0.0","0.0","0.0"
"false","false","false","false","false","true","","5","0.0","0.0","0.0","815.7457580566406","0.0","0.0","759.4856719970703","9.54962158203125","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","44026.919824","0.0","0.0","2337.92677","17444.008409","0.0","0.0","0.0"
"false","false","false","false","false","true","","6","0.0","0.0","0.0","-66.05953216552734","0.0","0.0","-1019.0435180664062","9.654403686523438","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","43470.141362","0.0","0.0","2766.943403","17052.919301","0.0","0.0","0.0"
"false","false","false","false","false","true","","7","0.0","0.0","0.0","12.613143920898438","0.0","0.0","759.412223815918","9.546257019042969","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","46009.044601","0.0","0.0","2257.669101","17991.007364","0.0","0.0","0.0"
"false","false","false","false","false","true","","8","0.0","0.0","0.0","-1130.8186416625977","0.0","0.0","759.4876174926758","9.546211242675781","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","43865.909418","0.0","0.0","2277.264986","17646.350073","0.0","0.0","0.0"
"false","false","false","false","false","true","","9","0.0","0.0","0.0","-1221.182502746582","0.0","0.0","759.4657287597656","9.796279907226562","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","49519.083223","0.0","0.0","2296.955813","18403.685607","0.0","0.0","0.0"
"false","false","false","false","false","true","","10","0.0","0.0","0.0","17.970550537109375","0.0","0.0","-1411.7858428955078","9.5738525390625","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","41707.206676","0.0","0.0","5508.538405","17217.464931","0.0","0.0","0.0"
"false","false","false","false","false","true","","11","0.0","0.0","0.0","938.1291046142578","0.0","0.0","759.5412979125977","9.779502868652344","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","42382.7552","0.0","0.0","2325.673277","17894.380629","0.0","0.0","0.0"
"false","false","false","false","false","true","","12","0.0","0.0","0.0","-472.041748046875","0.0","0.0","-1426.9486846923828","9.573921203613281","0.0","0.0","0.0","REFERENCE_MAPPER","0","5006596","0","0.0","LAZY","0.0","0.0","0.0","41547.412644","0.0","0.0","5267.058584","17200.054438","0.0","0.0","0.0"
